0 0.251164 -1234
0.025 0.256988 -1234
0.05 0.261176 -1234
0.075 0.263653 -1234
0.1 0.264383 -1234
0.125 0.263359 -1234
0.15 0.260613 -1234
0.175 0.256209 -1234
0.2 0.250241 -1234
0.225 0.24283 -1234
0.25 0.234119 -1234
0.275 0.224268 -1234
0.3 0.21345 -1234
0.325 0.201842 -1234
0.35 0.189624 -1234
0.375 0.176973 -1234
0.4 0.164057 -1234
0.425 0.151033 -1234
0.45 0.138044 -1234
0.475 0.125216 -1234
0.5 0.112661 -1234
0.525 0.100472 -1234
0.55 0.088724 -1234
0.575 0.0774797 -1234
0.6 0.0667861 -1234
0.625 0.0566787 -1234
0.65 0.0471828 -1234
0.675 0.038316 -1234
0.7 0.0300893 -1234
0.725 0.0225095 -1234
0.75 0.0155801 -1234
0.775 0.00930207 -1234
0.8 0.00367486 -1234
0.825 -0.00130368 -1234
0.85 -0.00563727 -1234
0.875 -0.00933158 -1234
0.9 -0.0123947 -1234
0.925 -0.0148378 -1234
0.95 -0.0166758 -1234
0.975 -0.0179277 -1234
1 -0.0186175 -1234
1.025 -0.0187738 -1234
1.05 -0.0184306 -1234
1.075 -0.0176264 -1234
1.1 -0.0164043 -1234
1.125 -0.0148112 -1234
1.15 -0.012897 -1234
1.175 -0.0107134 -1234
1.2 -0.00831332 -1234
1.225 -0.00574943 -1234
1.25 -0.00307324 -1234
1.275 -0.000334011 -1234
1.3 0.00242212 -1234
1.325 0.00515293 -1234
1.35 0.0078207 -1234
1.375 0.0103927 -1234
1.4 0.0128412 -1234
1.425 0.015144 -1234
1.45 0.0172837 -1234
1.475 0.0192481 -1234
1.5 0.0210292 -1234
1.525 0.0226232 -1234
1.55 0.0240296 -1234
1.575 0.0252509 -1234
1.6 0.0262921 -1234
1.625 0.0271596 -1234
1.65 0.0278614 -1234
1.675 0.0284061 -1234
1.7 0.028803 -1234
1.725 0.0290614 -1234
1.75 0.0291905 -1234
1.775 0.0291994 -1234
1.8 0.0290969 -1234
1.825 0.0288916 -1234
1.85 0.0285916 -1234
1.875 0.0282051 -1234
1.9 0.0277402 -1234
1.925 0.027205 -1234
1.95 0.0266076 -1234
1.975 0.0259565 -1234
2 0.0252602 -1234
2.025 0.0245276 -1234
2.05 0.0237677 -1234
2.075 0.0229898 -1234
2.1 0.0222032 -1234
2.125 0.0214169 -1234
